Declaring exchange
 [*] Waiting for logs. To exit press CTRL+C, sleep time [ms]:  100.0
 [x] Sent {"time": "2023-05-23T14:32:53.251+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:53.354+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:53.455+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:53.557+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:53.658+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:53.760+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:53.861+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:53.962+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:54.064+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:54.165+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:54.268+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:54.369+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:54.470+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:54.571+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:54.672+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:54.773+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:54.874+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:54.976+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:55.077+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:55.179+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:55.281+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:55.382+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:55.483+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:55.584+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:55.685+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:55.786+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:32:55.888+02:00", "waiting": false, "processing": false}
